id,"name",location_type,"street","city","state","zip","phone",latitude,longitude,"created_at","updated_at"
1,"New York",1,"10 Rockefeller Plaza","New York","NY","10020","212.332.3700",40.758,-73.9794,"2018-04-20 22:15:42","2018-04-20 22:18:30"
2,"Stamford",1,"750 Washington Blvd.","Stamford","CT","06901","203.348.7500",41.0498,-73.5437,"2018-04-20 22:15:42","2018-04-20 22:34:35"
3,"Morristown",1,"44 Whippany Road","Morristown","NJ","07960","973.540.0177",40.8016,-74.4586,"2018-04-20 22:15:42","2018-04-20 22:34:35"
4,"Houston",1,"5555 San Felipe Road","Houston","TX","77056","713.622.9900",29.7496,-95.4721,"2018-04-20 22:15:42","2018-04-20 22:34:36"
5,"Chicago",1,"181 West Madison","Chicago","IL","60602","312.641.2586",41.8816,-87.6334,"2018-04-20 22:15:42","2018-04-20 22:34:37"
6,"Boston",1,"125 High Street","Boston","MA","02110","617.526.8888",42.3555,-71.053,"2018-04-20 22:15:42","2018-04-20 22:34:38"
7,"McLean",1,"8300 Greensboro Drive","McLean","VA","22102","703.394.3400",38.9252,-77.2321,"2018-04-20 22:15:42","2018-04-20 22:34:39"
8,"Deloitte University",1,"One Deloitte Way","Westlake","TX","76262","682.388.1110",32.9822,-97.209,"2018-04-20 22:15:42","2018-04-20 22:34:40"
9,"Baton Rouge Clinic",2,"7373 Perkins Road","Baton Rouge","LA","70808","225.246.9296",30.3987,-91.1121,"2018-04-20 22:15:42","2018-04-20 22:34:41"
10,"Irvine Internal Medical Group",2,"22 Odyssey","Irvine","CA","92618","949.428.3498",33.6669,-117.764,"2018-04-20 22:15:42","2018-04-20 22:34:42"
11,"Canyon Medical Center",2,"5969 East Broad Street","Columbus","OH","43213","614.552.5109",39.9771,-82.8452,"2018-04-20 22:15:42","2018-04-20 22:34:42"
12,"Wesley Medical Center",2,"231 Methodist Boulevard","Hattiesburg","MS","39404","601.268.8088",31.328,-89.3681,"2018-04-20 22:15:42","2018-04-20 22:34:43"
