id,title,category,new_category,status,created
1,'Together We Dance to Cure ALS' Zumba Campaign to Benefit Augie's Quest on Display in Rockefeller Center.,PR,,preview,4/1/14
2,10 Stress Management Techniques You Need to Know,Blog,think,published,10/6/17
3,A Quick Thought on Smoking Cessation,Blog,prevent,preview,2/18/16
4,About Meditation,Blog,think,preview,10/18/16
5,Anti-Aging Tips at Any Age: How to Stop Time,Blog,prevent,preview,8/14/17
6,Are E-cigarettes Beneficial or Harmful?,Blog,prevent,preview,10/26/16
7,"Are Preventive Exams Under Fire? No, but Quality of Care Is",Blog,prevent,preview,6/30/14
8,Are Sodium And Salt The Same?,Blog,eat,preview,9/7/16
9,Becoming A Secret Chef,Blog,eat,preview,3/13/17
10,Best Games to Play at the Beach This Summer,Blog,move,preview,8/1/17
11,Break the Absenteeism-Obesity Cycle via Employee Health Intervention,Blog,"eat, prevent",preview,12/8/14
12,Breast Cancer Awareness Month: What You Should Know,Blog,prevent,preview,10/1/17
13,CCCF's Super-Awesome Colon-O-Tron Raising Awareness of Colorectal Cancer in Rockefeller Plaza,PR,,preview,1/1/14
14,Chair Yoga Poses You’ll Love to Do at the Office,Blog,"move, prevent",preview,9/20/17
15,Check Out the Best Anti-Aging Foods,Blog,eat,preview,8/16/17
16,Check Out These Amazing Benefits of Walking,Blog,move,preview,10/16/17
17,Creating a Culture of Health,Blog,prevent,preview,6/28/16
18,CSC Teams Up with EHE International for Cancer Awareness Campaign,PR,,preview,7/1/15
19,Deciphering Seeming Contradictions in Health Media,Blog,prevent,preview,4/7/16
20,Domestic Violence and Abuse: What to Know and How to Get Help,Blog,prevent,preview,10/23/17
21,Don't Take a Holiday from Your Health,Blog,prevent,preview,12/29/14
22,"Dr. Tania Elliott, EHE Chief Medical Officer, Leads Initiative on New Telemedicine Guidelines",PR,,preview,11/14/17
23,Ebola Outbreak: Travel Health Precaution,Blog,prevent,preview,8/5/14
24,EHE and Hope Lodge 2013,Blog,prevent,preview,8/13/13
25,EHE Board Names Dr. David Levy as its New CEO,PR,,preview,8/16/17
26,EHE Canyon Ranch Giveaway — Official Contest Rules,Uncategorized,,preview,2/27/18
27,"EHE International Affirms Commitment to Privacy, Patient Record Security with SOC 2 Certification",PR,,preview,1/19/15
28,EHE International And LUNGevity Foundation Highlight The Hope And Promise Of Lung Cancer Research At Rockefeller Plaza Window Display,PR,,preview,4/12/12
29,EHE International and the Hartford Institute for Geriatric Nursing Highlight the Needs of an Aging Population at Rockefeller Plaza Window Display,PR,,preview,1/4/12
30,"EHE International and the Histiocytosis Association Ask You to ""Join in the Fight"" Against Histiocytosis",PR,,preview,8/2/12
